user_id,user_name,user_surname,email,password_,year_birth,gender,mother_tongue,years_in,studies,working,support_type,expert,area,about_me,date,country,pic
1,Bonnie,Joann,bonnie.joann5@gmail.com,FuDgmKsOA,1997,Femenino,"Frances, Chino",De 1 año a 2 años,Sin graduado escolar,Si,Emocional,No,Valle del Jarama,"Juegos, Baile, Musica",13/10/2021,,1.jpg
2,Hope,Cheryl,hope.cheryl8@aol.com,TcEDUaWhT,1983,No especificar,"Aleman, Chino",De 1 año a 2 años,Master,No especificar,Orientacion sobre temas legales,Si,Valle Bajo del Lozoya,"Lectura, Baile, Cine",12/07/2021,,2.jpg
3,Irene,Patricia,irene.patricia2@aol.com,YigDCDzGH,1998,Masculino,"Portugues, Ingles",Menos de 6 meses,Doctorado,No especificar,Orientacion laboral,No,Sierra del Rincon,"Viajar, Baile, Lectura",09/02/2021,,3.jpg
4,Andrea,Patricia,andrea.patricia8@yahoo.com,juZCtMEMk,1968,Femenino,"Frances, Ucraniano",De 6 meses a 1 año,FP (Formacion Profesional),No especificar,Orientacion sobre tramites,Si,Valle Medio del Lozoya,"Deportes, Pintura, Baile",24/08/2022,,4.jpg
5,Lawrence,Joanne,lawrence.joanne3@outlook.com,IlpRnxgfA,1982,No especificar,"Ucraniano, Ingles",De 6 meses a 1 año,Sin graduado escolar,Si,Orientacion sobre temas legales,Si,Valle Alto del Lozoya,"Cocina, Juegos, Musica",21/04/2021,,5.jpg
6,Cathrine,Clyde,cathrine.clyde8@outlook.com,pygSbGQYX,1980,Masculino,"Chino, Aleman",Más de 2 años,Master,No especificar,Orientacion sobre temas legales,No,Valle Medio del Lozoya,"Baile, Naturaleza, Musica",26/02/2021,,6.jpg
7,Kenneth,Jenny,kenneth.jenny7@mail.kz,oiFAMfhta,1997,Femenino,"Italiano, Chino",De 6 meses a 1 año,Sin graduado escolar,No,Orientacion laboral,No,Valle Medio del Lozoya,"Musica, Baile, Naturaleza",13/04/2022,,7.jpg
8,Marie,Denise,marie.denise1@mail.kz,ZYsipCHZe,1966,No especificar,Español,Menos de 6 meses,FP (Formacion Profesional),Si,Orientacion sobre temas legales,Si,Valle Alto del Lozoya,"Pintura, Deportes, Fotografia",14/09/2022,,8.jpg
9,Michelle,Robert,michelle.robert1@yahoo.com,rWdpKbTYS,1966,No especificar,Frances,Menos de 6 meses,Master,No especificar,Emocional,Si,Valle Bajo del Lozoya,"Musica, Fotografia, Cocina",14/07/2021,,9.jpg
10,Stanley,Anne,stanley.anne9@mail.kz,lkyfissrp,1973,No especificar,Aleman,Menos de 6 meses,Doctorado,No,Orientacion sobre tramites,Si,Sierra del Rincon,"Baile, Musica, Juegos",13/05/2022,,10.jpg
11,Claude,Shelby,claude.shelby4@outlook.com,FcQSHAQjy,1964,Masculino,Italiano,Más de 2 años,FP (Formacion Profesional),Si,Orientacion laboral,Si,Sierra de la Cabrera,"Baile, Naturaleza, Fotografia",19/04/2021,,11.jpg
12,Franklin,Ruth,franklin.ruth1@mail.com,AbFTrNvlt,2003,No especificar,Español,Más de 2 años,Grado universitario,Si,Orientacion sobre temas legales,Si,Sierra del Rincon,"Naturaleza, Cine, Cocina",06/09/2022,,12.jpg
13,Garry,Adolfo,garry.adolfo3@aol.com,KLjugkLIB,1966,Femenino,"Ingles, Frances",De 1 año a 2 años,Doctorado,Si,Emocional,Si,Valle del Jarama,"Fotografia, Viajar, Naturaleza",15/08/2021,,13.jpg
14,Ruby,Kyle,ruby.kyle2@mail.com,XXRZYzvsh,1968,No especificar,Portugues,De 6 meses a 1 año,Doctorado,No,Emocional,No,Valle Alto del Lozoya,"Viajar, Pintura, Deportes",06/03/2021,,14.jpg
15,Travis,Gary,travis.gary7@hotmail.com,FtNEZyUls,2002,No especificar,Ucraniano,Más de 2 años,FP (Formacion Profesional),Si,Orientacion laboral,No,Sierra de la Cabrera,"Baile, Cine, Lectura",15/05/2021,,15.jpg
16,Alice,Helena,alice.helena9@aol.com,lgnHWrVFS,1992,No especificar,Portugues,De 6 meses a 1 año,Sin graduado escolar,No,Emocional,No,Valle Medio del Lozoya,"Pintura, Deportes, Lectura",02/05/2021,,16.jpg
17,Gwen,Roberto,gwen.roberto1@mail.kz,ZBRYXDSUs,1970,No especificar,"Arabe, Chino",De 6 meses a 1 año,Sin graduado escolar,Si,Orientacion sobre tramites,Si,Sierra de la Cabrera,"Naturaleza, Deportes, Cocina",03/09/2022,,17.jpg
18,Mark,James,mark.james8@gmail.com,JyFqJtRYI,2000,Masculino,"Chino, Español",Más de 2 años,Doctorado,Si,Orientacion sobre temas legales,Si,Valle Alto del Lozoya,"Baile, Naturaleza, Juegos",27/04/2022,,18.jpg
19,Walter,John,walter.john1@aol.com,lBCJXgGdU,1994,Masculino,Arabe,De 6 meses a 1 año,Grado universitario,No,Orientacion laboral,Si,Valle Medio del Lozoya,"Baile, Musica, Lectura",30/11/2022,,19.jpg
20,Annita,Gregory,annita.gregory8@mail.kz,kjmHZjmoC,1990,Masculino,"Portugues, Frances",Más de 2 años,FP (Formacion Profesional),No,Orientacion laboral,Si,Valle Medio del Lozoya,"Cine, Lectura, Deportes",27/10/2021,,20.jpg
21,Jose,Richard,jose.richard3@outlook.com,uvhFfimuy,1976,Masculino,"Español, Ucraniano",De 6 meses a 1 año,Doctorado,No especificar,Emocional,No,Valle Medio del Lozoya,"Baile, Cocina, Fotografia",25/06/2022,,21.jpg
